split,v0,theta_deg,drag,range
0,5.52004626902463471e+01,5.82198851006828164e+01,2.43901279445978870e-02,4.91894641772561272e+01
0,6.03936568456085112e+01,5.45103552858750362e+01,2.53452957656983557e-02,5.37906686941379206e+01
0,6.84898451550191965e+01,6.50282150160389705e+01,5.98723558149073729e-02,2.23233617021260571e+01
2,2.97314479155179505e+01,4.75832221940037314e+01,1.03715864695402265e-02,5.32057848745595265e+01
0,2.50652717014081503e+01,7.28923066709670309e+01,2.45599151574488412e-03,3.18492561761161284e+01
2,5.47531966046611487e+01,5.62615775266817977e+01,7.13196567360413342e-02,2.20666126888705740e+01
0,6.63538383201506861e+01,4.50695888432856648e+01,1.11188700133041610e-02,1.13516548631891723e+02
2,7.74569610991479607e+01,1.61835399486213092e+01,7.18971730496188732e-02,3.00846394965110875e+01
2,2.05367381294824227e+01,7.51927788477077286e+01,2.90917698965601108e-02,1.10005467272716757e+01
0,4.37548671739535564e+01,7.98324029024304451e+01,7.05609228910775588e-03,3.41768047790881084e+01
0,7.26301103537321353e+01,2.93894395249512002e+01,3.48955259090341294e-03,2.32553457503505314e+02
0,3.95901834861806066e+01,7.30637458393293286e+01,5.56813317286515355e-02,1.37061270327634332e+01
0,5.12651443458833640e+01,5.98580230758658658e+01,2.43750174323976755e-02,4.55290820682669235e+01
0,1.17143474245354238e+01,3.09381777711980384e+01,3.81710501326504789e-02,9.16016177446340940e+00
2,5.71421921007057279e+01,1.18849583561067877e+01,4.98096589767048625e-02,3.08014127113946969e+01
0,7.43362033743675710e+01,2.36594447789721727e+01,5.70036099226998508e-02,3.78027560113576868e+01
0,6.78777730689704697e+01,2.91615136106123032e+01,4.50198330531340479e-02,4.42849638569396902e+01
0,7.19864186696962634e+01,3.76485214677981546e+01,5.51668963792528166e-02,3.78479393213025901e+01
0,5.62248766364366332e+01,6.85466770328089012e+01,2.17881122463889736e-02,4.04857374630557914e+01
1,2.71886587070224301e+01,2.70143238975820239e+01,4.46843910768913791e-02,2.35216891464570566e+01
0,6.37961899227378026e+01,7.14359074443613338e+01,5.41943864226301988e-02,1.85779292642038598e+01
0,2.48172319825257368e+01,6.54273917459256040e+01,6.39429824349416198e-02,1.26899697379302072e+01
0,6.81892384265122757e+01,5.95276085768451679e+01,7.50638033161875051e-02,2.13057070853086543e+01
0,1.43902545799537762e+01,3.12660371825834815e+01,6.77715082214544462e-02,1.01650441161487688e+01
2,6.77841469375489112e+01,5.53463144717018025e+01,3.16940063379892931e-02,4.72864461191563024e+01
0,2.15155086531870907e+01,7.30890742687305135e+01,5.12863705546253018e-02,9.64729949016285993e+00
0,3.62602897547649263e+01,2.38468481334256310e+01,2.16568584261062104e-02,4.37843824204697967e+01
2,3.21716716589874991e+01,2.63313235447433023e+01,2.09957008592132587e-02,4.05078994789508187e+01
